page_index,tag,gt_stem,positions
5,a,kaksplus,[114]
5,a,suome,[123]
5,span,juhl,[2]
5,span,tarjottav,[3]
5,span,ruoka,[8]
5,h1,juhl,[1]
5,h1,tarjottav,[2]
5,p,juhl,[4]
5,p,ja,"[9, 27, 52, 117, 138, 194, 227]"
5,p,salaat,[24]
5,p,paahtofil,[26]
5,p,riisipalo,"[28, 175]"
5,p,seura,"[44, 106]"
5,p,juoma,"[54, 110]"
5,p,inkiväär,[68]
5,p,tarjottav,[87]
5,p,kuohuv,[100]
5,p,muka,[147]
5,p,maku,[173]
5,p,munak,[193]
5,p,ruoka,[228]
5,h3,buf,[1]
5,h3,kuohuv,[4]
5,h3,ja,"[5, 19, 35, 42]"
5,h3,muka,[11]
5,h3,maku,[12]
5,h3,karamellisoidu,[32]
5,h3,omen,[33]
5,h3,sinihomejuusto,[36]
5,h3,broiler,[39]
5,h3,kookos,[40]
6,a,test,"[9, 54]"
6,a,muka,[10]
6,a,maku,"[11, 23]"
6,a,juhl,[16]
6,a,joulu,[20]
6,a,juoma,"[21, 38, 39]"
6,a,maailm,"[24, 111, 113]"
6,a,leivon,[34]
6,a,ruoka,"[36, 58, 102]"
6,a,kampasimpuk,[40]
6,a,ja,"[42, 76]"
6,a,pinaat,[43]
6,a,jäätelö,[50]
6,a,cava,"[51, 56]"
6,a,espanj,[52]
6,a,kuohuviin,[53]
6,a,an,"[55, 92]"
6,a,espanjalain,[57]
6,a,kuohuv,[59]
6,a,tapas,[60]
6,a,peru,[61]
6,a,siika,[66]
6,a,halloum,[68]
6,a,seura,"[71, 72, 73, 105]"
6,a,kaksplus,[97]
6,a,suome,[106]
6,span,cava,[1]
6,span,ja,[2]
6,span,ruoka,[5]
6,h1,cava,[0]
6,h1,ja,[1]
6,p,cava,"[0, 14, 24, 49, 51, 77, 117, 138, 154, 174, 185, 223, 243, 258, 278, 287, 292, 299, 318, 328, 340]"
6,p,ja,"[4, 18, 59, 131, 157, 172, 204, 210, 251, 282, 297, 305, 333, 348, 356, 397, 402, 409]"
6,p,kuohuv,"[6, 275]"
6,p,an,"[7, 87, 267]"
6,p,espanj,"[17, 176, 247, 272]"
6,p,maailm,"[46, 112]"
6,p,muka,"[120, 136, 178]"
6,p,kuohuviin,[144]
6,p,juoma,"[197, 249]"
6,p,gran,[312]
6,p,seura,[335]
6,p,jälkiruok,"[347, 417]"
6,p,kokonais,[365]
6,p,serranokinku,[367]
6,p,espanjalain,[384]
6,p,katalonialain,[388]
6,p,kala,[389]
6,p,tuore,[395]
6,p,kuha,[396]
6,p,kanel,[408]
6,p,jäätelökon,[415]
6,h3,muka,[10]
6,h3,maku,[11]
6,h3,ja,"[18, 34, 41]"
6,h3,karamellisoidu,[31]
6,h3,omen,[32]
6,h3,sinihomejuusto,[35]
6,h3,broiler,[38]
6,h3,kookos,[39]
7,a,test,[9]
7,a,muka,[10]
7,a,maku,"[11, 23]"
7,a,juhl,[16]
7,a,joulu,[20]
7,a,juoma,"[21, 38, 39]"
7,a,maailm,"[24, 102, 104]"
7,a,leivon,[34]
7,a,ruoka,"[36, 93]"
7,a,faustino,[43]
7,a,freixen,[46]
7,a,gran,[47]
7,a,campo,[48]
7,a,viejo,[49]
7,a,testaus,[50]
7,a,vapu,[51]
7,a,peru,[52]
7,a,siika,[57]
7,a,halloum,[59]
7,a,seura,"[62, 63, 64, 96]"
7,a,ja,[67]
7,a,an,[83]
7,a,kaksplus,[88]
7,a,suome,[97]
7,span,cava,[1]
7,span,espanj,[2]
7,span,kuohuviin,[3]
7,span,test,[4]
7,span,ruoka,[6]
7,h1,cava,[0]
7,h1,espanj,[1]
7,h1,kuohuviin,[2]
7,h1,test,[3]
7,p,ruoka,[0]
7,p,vapu,"[5, 10, 30]"
7,p,kuohuviin,"[8, 54]"
7,p,juhl,[11]
7,p,cava,"[13, 46]"
7,p,ja,"[21, 28, 44, 63, 68]"
7,p,test,[24]
7,p,juoma,"[26, 56]"
7,strong,freixen,"[0, 6, 12, 34, 57, 79, 99]"
7,strong,gran,"[2, 8, 45, 59]"
7,strong,maku,"[22, 30, 41, 53, 65, 75, 85, 95, 105, 116]"
7,strong,faustino,[24]
7,strong,campo,[46]
7,strong,viejo,[47]
7,strong,cava,[48]
7,h3,cava,[1]
7,h3,muka,[5]
7,h3,maku,[6]
7,h3,ja,"[13, 29, 36]"
7,h3,karamellisoidu,[26]
7,h3,omen,[27]
7,h3,sinihomejuusto,[30]
7,h3,broiler,[33]
7,h3,kookos,[34]
7,td,freixen,"[0, 13, 17, 28, 38, 43, 47]"
7,td,faustino,[9]
7,td,gran,"[19, 30, 49]"
7,td,ja,"[89, 151, 165, 169, 233, 290, 316, 380, 483, 557]"
7,td,maku,"[117, 159, 333, 341, 394, 418, 441, 491, 549]"
7,td,helpo,"[166, 288]"
7,td,ruoka,[238]
7,td,suolais,[308]
7,td,vapu,[365]
7,td,juhl,[407]
7,td,juhlajuom,[412]
7,td,seura,[457]
7,td,läm,[466]
7,em,ja,[1]
7,em,ruoka,[3]
8,a,test,"[9, 45]"
8,a,muka,[10]
8,a,maku,"[11, 23]"
8,a,juhl,[16]
8,a,joulu,[20]
8,a,juoma,"[21, 38, 39, 42]"
8,a,maailm,"[24, 96, 98]"
8,a,leivon,[34]
8,a,ruoka,"[36, 87]"
8,a,alkoholito,[40]
8,a,juhlajuom,[41]
8,a,kuohuviin,[43]
8,a,testaus,[44]
8,a,peru,[46]
8,a,siika,[51]
8,a,halloum,[53]
8,a,seura,"[56, 57, 58, 90]"
8,a,ja,[61]
8,a,an,[77]
8,a,kaksplus,[82]
8,a,suome,[91]
8,span,test,[1]
8,span,juhlajuom,[3]
8,span,ruoka,[5]
8,h1,juhlajuom,[2]
8,p,ruoka,[0]
